"run_id","h5_files_csv_filepath","site_location_csv_filepath","melt_types"
"20240125124730_m2opt_calc-melt","/Users/Cannon/Documents/School/UCSB/Briggs Lab/Thaw_Rate_Hypothesis/Ribbitr Data/Ribbitr_Snow_Melt/debug/reactor_info_directory/h5_file_paths_csv.csv","/Users/Cannon/Documents/School/UCSB/Briggs Lab/Thaw_Rate_Hypothesis/Ribbitr Data/Ribbitr_Snow_Melt/debug/reactor_info_directory/site_location_csv.csv","swe"
"20240125124730_m2opt_calc-melt","/Users/Cannon/Documents/School/UCSB/Briggs Lab/Thaw_Rate_Hypothesis/Ribbitr Data/Ribbitr_Snow_Melt/debug/reactor_info_directory/h5_file_paths_csv.csv","/Users/Cannon/Documents/School/UCSB/Briggs Lab/Thaw_Rate_Hypothesis/Ribbitr Data/Ribbitr_Snow_Melt/debug/reactor_info_directory/site_location_csv.csv","sweHybrid"
"20240125124730_m2opt_calc-melt","/Users/Cannon/Documents/School/UCSB/Briggs Lab/Thaw_Rate_Hypothesis/Ribbitr Data/Ribbitr_Snow_Melt/debug/reactor_info_directory/h5_file_paths_csv.csv","/Users/Cannon/Documents/School/UCSB/Briggs Lab/Thaw_Rate_Hypothesis/Ribbitr Data/Ribbitr_Snow_Melt/debug/reactor_info_directory/site_location_csv.csv","melt"
